"","BILLING.DOC","DESCRIPTION","SERVICE.DATE","avg_division"
"17010",7817264615,"APGL NZ Express w/Signature",16022024,0
"17011",7817264784,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17012",7817264784,"Parcel Post with Signature",16022024,0.0883615749363469
"17013",7817265823,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17014",7817265823,"AP Security Mgt Charge",16022024,NA
"17015",7817265823,"Express Post with Signature",16022024,0.0880466472303207
"17016",7817265823,"Parcel Post with Signature",16022024,0.0880448680911932
"17017",7817266099,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17018",7817266099,"AP Security Mgt Charge",16022024,NA
"17019",7817266099,"Express Post with Signature",16022024,0.088212358935599
"17020",7817266099,"Parcel Post with Signature",16022024,0.0882618308306675
"17021",7817266371,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17022",7817266371,"EPARCEL WINE STD",16022024,0.0883216851278754
"17023",7817266444,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17024",7817266444,"Parcel Post with Signature",16022024,0.0884000668629384
"17025",7817266649,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17026",7817266649,"AP Security Mgt Charge",16022024,NA
"17027",7817266649,"Express Post with Signature",16022024,0.0885496183206107
"17028",7817266878,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17029",7817266878,"Parcel Post with Signature",16022024,0.0883025580769871
"17030",7817267381,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17031",7817267381,"Parcel Post with Signature",16022024,0.0880335980774523
"17032",7817267963,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17033",7817267963,"AP Security Mgt Charge",16022024,NA
"17034",7817267963,"Express Post with Signature",16022024,0.0879318328860818
"17035",7817267963,"Parcel Post with Signature",16022024,0.0881272216187583
"17036",7817268752,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17037",7817268752,"Parcel Post with Signature",16022024,0.0881083408730421
"17038",7817268854,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17039",7817268854,"Parcel Post with Signature",16022024,0.0881823635272945
"17040",7817269023,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17041",7817269023,"AP Security Mgt Charge",16022024,NA
"17042",7817269023,"Express Post with Signature",16022024,0.0882635382279629
"17043",7817269023,"Parcel Post with Signature",16022024,0.0882705999047697
"17044",7817269041,"PACK AND TRACK INTERNATIONAL",16022024,0
"17045",7817270379,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17046",7817270379,"AP Security Mgt Charge",16022024,NA
"17047",7817270379,"Express Post with Signature",16022024,0.088145896656535
